"
/1/2022";Nivel general;";100;Nivel general"
/1/2022";Materiales;";100;Capitulos"
/1/2022";Mano de obra;";100;Capitulos"
/1/2022";Gastos generales;";100;Capitulos"
/2/2022";Nivel general;";103.809635871582;Nivel general"
/2/2022";Materiales;";103.461973487762;Capitulos"
/2/2022";Mano de obra;";104.20903483914;Capitulos"
/2/2022";Gastos generales;";103.622082838899;Capitulos"
/3/2022";Nivel general;";108.957034113846;Nivel general"
/3/2022";Materiales;";107.610731574899;Capitulos"
/3/2022";Mano de obra;";110.388768498453;Capitulos"
/3/2022";Gastos generales;";108.74966701378;Capitulos"
/4/2022";Nivel general;";111.477783912457;Nivel general"
/4/2022";Materiales;";112.466181061394;Capitulos"
/4/2022";Mano de obra;";110.436924672631;Capitulos"
/4/2022";Gastos generales;";111.575811880948;Capitulos"
/5/2022";Nivel general;";118.877112315922;Nivel general"
/5/2022";Materiales;";117.432927656879;Capitulos"
/5/2022";Mano de obra;";120.535830045748;Capitulos"
/5/2022";Gastos generales;";118.083775296862;Capitulos"
/6/2022";Nivel general;";126.709991582415;Nivel general"
/6/2022";Materiales;";123.566031760395;Capitulos"
/6/2022";Mano de obra;";130.22540793836;Capitulos"
/6/2022";Gastos generales;";125.428845889941;Capitulos"
/7/2022";Nivel general;";135.483287021533;Nivel general"
/7/2022";Materiales;";138.761254128399;Capitulos"
/7/2022";Mano de obra;";132.822137022837;Capitulos"
/7/2022";Gastos generales;";132.072425511992;Capitulos"
/8/2022";Nivel general;";145.610636930569;Nivel general"
/8/2022";Materiales;";151.118852644437;Capitulos"
/8/2022";Mano de obra;";141.251319664389;Capitulos"
/8/2022";Gastos generales;";139.344844566069;Capitulos"
/9/2022";Nivel general;";156.442167573292;Nivel general"
/9/2022";Materiales;";160.064244672669;Capitulos"
/9/2022";Mano de obra;";154.302568946676;Capitulos"
/9/2022";Gastos generales;";148.885606115645;Capitulos"
/10/2022";Nivel general;";167.839396106188;Nivel general"
/10/2022";Materiales;";169.532642627698;Capitulos"
/10/2022";Mano de obra;";167.86131021837;Capitulos"
/10/2022";Gastos generales;";159.475778784136;Capitulos"
/11/2022";Nivel general;";179.137061810414;Nivel general"
/11/2022";Materiales;";178.974799800932;Capitulos"
/11/2022";Mano de obra;";181.374673556704;Capitulos"
/11/2022";Gastos generales;";169.341857780576;Capitulos"
/12/2022";Nivel general;";186.865852665116;Nivel general"
/12/2022";Materiales;";187.784463647469;Capitulos"
/12/2022";Mano de obra;";187.849826822989;Capitulos"
/12/2022";Gastos generales;";177.732303295958;Capitulos"
/1/2023";Nivel general;";199.350126263769;Nivel general"
/1/2023";Materiales;";198.348640456047;Capitulos"
/1/2023";Mano de obra;";202.358726454409;Capitulos"
/1/2023";Gastos generales;";190.004762712001;Capitulos"
/2/2023";Nivel general;";211.370075034168;Nivel general"
/2/2023";Materiales;";208.554494864951;Capitulos"
/2/2023";Mano de obra;";216.65740586394;Capitulos"
/2/2023";Gastos generales;";200.099290436636;Capitulos"
/3/2023";Nivel general;";221.3145913851;Nivel general"
/3/2023";Materiales;";220.121250508981;Capitulos"
/3/2023";Mano de obra;";225.344964901558;Capitulos"
/3/2023";Gastos generales;";208.070778743774;Capitulos"
/4/2023";Nivel general;";239.206936813809;Nivel general"
/4/2023";Materiales;";235.713704022078;Capitulos"
/4/2023";Mano de obra;";244.529643829527;Capitulos"
/4/2023";Gastos generales;";231.084364581567;Capitulos"
